Nama Subtes;Kode Soal;Tipe Soal;Teks Soal;Gambar Soal (nama file) (opsional);Opsi A - Teks;Opsi A - Gambar (opsional);Opsi B - Teks;Opsi B - Gambar (opsional);Opsi C - Teks;Opsi C - Gambar (opsional);Opsi D - Teks;Opsi D - Gambar (opsional);Opsi E - Teks (opsional);Opsi E - Gambar (opsional);Kunci Jawaban;Hint (opsional);Pembahasan;Tingkat Kesulitan
;PK-010;;Diketahui b = 2c dan b - d = 3. Apakah d bilangan prima? (1) d = 2c - 3. (2) b - 2c = 0. Tentukan kecukupan informasi.;;Pernyataan (1) saja cukup, tetapi (2) saja tidak cukup;;Pernyataan (2) saja cukup, tetapi (1) saja tidak cukup;;Keduanya bersama-sama cukup, tetapi masing-masing saja tidak cukup;;Masing-masing pernyataan sendiri cukup;;Keduanya tidak cukup;;E;Periksa apakah setiap pernyataan memberi nilai d yang tunggal.;Hubungan awal sudah setara dengan d = 2c - 3. Pernyataan (1) hanya mengulang hubungan itu, sedangkan (2) juga setara dengan b = 2c yang sudah diketahui. Tidak ada yang menentukan nilai c atau d secara tunggal, sehingga status prima d tidak dapat dipastikan.;Sulit
;PK-011;;Untuk pertidaksamaan 2a ? 2b < 10, tentukan pasangan yang memenuhi: (1) (8,6), (2) (7,3), (3) (5,4), (4) (3,1).;;(1), (2), dan (3) saja yang benar;;(1) dan (3) saja yang benar;;(2) dan (4) saja yang benar;;Hanya (4) yang benar;;Semua pernyataan benar;;E;Sederhanakan menjadi a ? b < 5, lalu uji keempat pasangan.;Keempat pasangan memberi a?b berturut-turut 2, 4, 1, dan 2. Semuanya kurang dari 5, jadi semua pernyataan benar.;Mudah
;PK-012;;Simbol ? dan ? masing-masing mewakili salah satu operasi +, ?, ×, atau ÷. Untuk 4 ? 1 ? 3 < 8, uji: (1) (+,×), (2) (+,÷), (3) (?,÷), (4) (×,÷).;;(1), (2), dan (3) saja yang benar;;(1) dan (3) saja yang benar;;(2) dan (4) saja yang benar;;Hanya (4) yang benar;;Semua pernyataan benar;;E;Substitusikan setiap pasangan operasi dengan mengikuti prioritas operasi hitung.;Nilainya berturut-turut 7, 4?, 3?, dan 4/3. Semuanya kurang dari 8, sehingga seluruh pilihan benar.;Mudah
;PK-013;;Simbol ?, ?, dan ? adalah operasi hitung. Tentukan tripel yang membuat 1 < 1 ? 2 ? 4 ? 8 < 8: (1) (?,+,×), (2) (?,÷,+), (3) (?,+,÷), (4) (+,?,÷).;;(1), (2), dan (3) saja yang benar;;(1) dan (3) saja yang benar;;(2) dan (4) saja yang benar;;Hanya (4) yang benar;;Semua pernyataan benar;;D;Uji keempat tripel dan gunakan urutan operasi ×/÷ sebelum +/?.;Hanya tripel (4) yang menghasilkan nilai di antara 1 dan 8, yaitu 1+2?4/8 = 2,5.;Sedang
;PK-014;;Kurva g(x)=x²?9 digeser 5 satuan ke kanan dan 8 satuan ke atas menjadi f(x). Uji: (1) puncak f di (5,?1), (2) y=?1 menyinggung f, (3) diskriminan f(x)=0 positif, (4) f(1)=?8.;;(1), (2), dan (3) saja yang benar;;(1) dan (3) saja yang benar;;(2) dan (4) saja yang benar;;Hanya (4) yang benar;;Semua pernyataan benar;;A;Tuliskan fungsi hasil translasi terlebih dahulu.;f(x)=(x?5)²?1=x²?10x+24. Puncaknya (5,?1), y=?1 menyinggung di puncak, dan diskriminannya 4>0. Tetapi f(1)=15, jadi hanya (1),(2),(3) benar.;Sedang
;PK-015;;Kurva g(x)=1?x² digeser 3 satuan ke atas dan 1 satuan ke kanan. Uji: (1) (3,0) berada pada kurva, (2) memotong sumbu-y di (0,3), (3) puncak di (1,4), (4) memotong sumbu-x di dua titik berbeda.;;(1), (2), dan (3) saja yang benar;;(1) dan (3) saja yang benar;;(2) dan (4) saja yang benar;;Hanya (4) yang benar;;Semua pernyataan benar;;E;Fungsi hasil translasi adalah f(x)=4?(x?1)².;f(x)=?x²+2x+3. Titik (3,0) memenuhi, f(0)=3, puncak (1,4), dan diskriminannya 16>0. Semua benar.;Sedang
;PK-016;;Kurva g(x)=x²+2 digeser 4 satuan ke kiri dan 2 satuan ke bawah. Uji: (1) kurva menyinggung sumbu-x, (2) sumbu simetri x=?4, (3) memotong sumbu-y di (0,16), (4) titik (2,6) berada pada kurva.;;(1), (2), dan (3) saja yang benar;;(1) dan (3) saja yang benar;;(2) dan (4) saja yang benar;;Hanya (4) yang benar;;Semua pernyataan benar;;A;Hasil translasi adalah f(x)=(x+4)².;f(x)=(x+4)². Puncak (?4,0), sehingga menyinggung sumbu-x dan sumbu simetrinya x=?4. f(0)=16. Namun f(2)=36, bukan 6. Jadi (1),(2),(3) benar.;Sedang
;PK-017;;Diketahui A?¹=[[2,?1],[2,1]] dan A·[3?c, 4+d]?=[c,d]?. Bandingkan P=d?c dengan Q=1.;;P lebih besar daripada Q;;P lebih kecil daripada Q;;P sama dengan Q;;Hubungan P dan Q tidak dapat ditentukan;;;;C;Kalikan kedua ruas dengan A?¹ lalu samakan komponen matriks.;Diperoleh c=2 dan d=3, sehingga P=d?c=1=Q.;Sulit
;PK-018;;Diketahui F?¹=[[1,2],[1,1]] dan [[?5,n],[4,m]]=F·[[3,1],[?1,0]]. Bandingkan P=2m?n dengan Q=3.;;P lebih besar daripada Q;;P lebih kecil daripada Q;;P sama dengan Q;;Hubungan P dan Q tidak dapat ditentukan;;;;C;Kalikan persamaan dari kiri dengan F?¹.;Dari kesamaan matriks diperoleh m=1 dan n=?1. Maka P=2(1)?(?1)=3=Q.;Sulit
;PK-019;;Matriks [[?5,2],[?3,1]] adalah B?¹ dan [[x,?9],[2+y,?12]] + [[1,y],[2x,?3]] = 3B. Bandingkan P=3x?2y dengan Q=0.;;P lebih besar daripada Q;;P lebih kecil daripada Q;;P sama dengan Q;;Hubungan P dan Q tidak dapat ditentukan;;;;C;Cari B dengan menginvers B?¹, lalu samakan elemen matriks.;B=[[1,?2],[3,?5]]. Dari persamaan diperoleh x=2 dan y=3. Jadi P=6?6=0=Q.;Sulit
;PK-020;;Untuk bilangan real a yang memenuhi ?a?+??a?=1, bandingkan P=a dengan Q=1/2.;;P lebih besar daripada Q;;P lebih kecil daripada Q;;P sama dengan Q;;Hubungan P dan Q tidak dapat ditentukan;;;;D;"Persamaan ini dipenuhi oleh bilangan real nonbulat; ambil beberapa contoh di bawah, sama dengan, dan di atas 1/2.";"Contoh a=1/4, 1/2, dan 3/4 semuanya memenuhi. Jadi P dapat lebih kecil, sama, atau lebih besar daripada Q; hubungan tidak dapat ditentukan.";Sulit
;PK-021;;Misalkan s adalah salah satu solusi 0 < 3?3x+3? < 7. Bandingkan P=s dengan Q=?1.;;P lebih besar daripada Q;;P lebih kecil daripada Q;;P sama dengan Q;;Hubungan P dan Q tidak dapat ditentukan;;;;A;Karena nilai floor bilangan bulat, tentukan kemungkinan ?3x+3?.;Nilai floor yang mungkin 1 atau 2, sehingga ?2/3 ? x < 0. Semua solusi lebih besar daripada ?1, jadi P>Q.;Sulit
;PK-022;;Bilangan real x memenuhi ?x?1? < 2. Bandingkan P=x dengan Q=2.;;P lebih besar daripada Q;;P lebih kecil daripada Q;;P sama dengan Q;;Hubungan P dan Q tidak dapat ditentukan;;;;D;Ubah syarat ceiling menjadi interval nilai x.;Dari ?x?1?<2 diperoleh x?2. Karena x bisa kurang dari 2 atau sama dengan 2, hubungan P dan Q tidak tunggal.;Sulit
;PK-023;;Bilangan real a merupakan salah satu solusi 1 < ?x/2?1? < 3. Bandingkan P=a dengan Q=7.;;P lebih besar daripada Q;;P lebih kecil daripada Q;;P sama dengan Q;;Hubungan P dan Q tidak dapat ditentukan;;;;B;Nilai ceiling yang mungkin hanya 2.;?x/2?1?=2 memberi 1 < x/2?1 ? 2, sehingga 4<x?6. Semua solusi lebih kecil daripada 7, jadi P<Q.;Sulit
;PK-024;;Bilangan real a memenuhi ?2x+1?=5. Bandingkan P=a dengan Q=2.;;P lebih besar daripada Q;;P lebih kecil daripada Q;;P sama dengan Q;;Hubungan P dan Q tidak dapat ditentukan;;;;D;Gunakan ?t?=n ? n?1<t?n.;"Diperoleh 4<2x+1?5, sehingga 3/2<x?2. P bisa lebih kecil dari 2 atau sama dengan 2; hubungan tidak dapat ditentukan.";Sulit
;PK-025;;Misalkan s adalah salah satu solusi 0 < 3?5?3x? < 11. Bandingkan P=s/2 dengan Q=0.;;P lebih besar daripada Q;;P lebih kecil daripada Q;;P sama dengan Q;;Hubungan P dan Q tidak dapat ditentukan;;;;A;Nilai ?5?3x? yang mungkin adalah 1, 2, atau 3.;Gabungan interval solusi adalah 1/3 < x ? 4/3. Jadi s selalu positif dan s/2>0, sehingga P>Q.;Sulit
;PK-026;;Bilangan real u sekaligus memenuhi 0<?x?1?<2 dan 1<?x+1?<4. Bandingkan P=u dengan Q=1.;;P lebih besar daripada Q;;P lebih kecil daripada Q;;P sama dengan Q;;Hubungan P dan Q tidak dapat ditentukan;;;;A;Cari irisan himpunan solusi dari kedua pertidaksamaan ceiling.;Syarat pertama memberi 1<x?2, sedangkan syarat kedua memberi 0<x?2. Irisannya 1<x?2, sehingga u>1 dan P>Q.;Sulit
;PK-027;;Komunitas C memiliki 150 responden. Sebanyak 30 orang suka cabai dan 60 orang tidak suka merica. Bandingkan P = banyak anggota yang suka merica tetapi tidak suka cabai dengan Q=100.;;P lebih besar daripada Q;;P lebih kecil daripada Q;;P sama dengan Q;;Hubungan P dan Q tidak dapat ditentukan;;;;B;Jumlah yang suka merica = total responden ? yang tidak suka merica.;Yang suka merica berjumlah 150?60=90. Kelompok 'suka merica tetapi tidak suka cabai' adalah bagian dari 90 orang itu, sehingga pasti kurang dari 100. Jadi P<Q.;Sedang
;PK-028;;Bilangan dua digit dengan digit berbeda dibentuk dari {0,2,5,7,8} dan nilainya harus lebih dari 10. Tentukan banyak pernyataan benar: (1) ada 16 bilangan, (2) selisih terbesar dan terkecil kelipatan 5, (3) bilangan terkecil kedua prima, (4) ada bilangan kuadrat sempurna.;;0;;1;;2;;3;;4;;C;Daftarkan pola bilangan berdasarkan digit puluhan, lalu uji keempat pernyataan.;Ada 4 pilihan digit puluhan dan 4 pilihan satuan, jadi 16 bilangan. Terbesar 87 dan terkecil 20, selisih 67 bukan kelipatan 5. Bilangan kedua terkecil 25 bukan prima. Ada kuadrat sempurna 25. Jadi 2 pernyataan benar.;Sedang
;PK-029;;Dua bilangan dua digit x dan y dibentuk dengan memakai keempat digit 1,3,7,8 masing-masing satu kali. Tentukan banyak pernyataan benar: (1) ada x yang merupakan faktor prima dari y, (2) produk maksimum adalah 81×73, (3) selisih maksimum x dan y kelipatan 4, (4) FPB bilangan terbesar 87 dan terkecil 13 adalah 1.;;0;;1;;2;;3;;4;;D;Uji dengan menyusun pasangan dua digit dari empat digit tersebut.;Pernyataan (1) benar, misalnya 13 membagi 78. Produk maksimum 81×73=5913, jadi (2) benar. Selisih maksimum 87?13=74, bukan kelipatan 4, sehingga (3) salah. FPB(87,13)=1, jadi (4) benar. Total 3 pernyataan benar.;Sulit
;PK-030;;Bilangan dua digit, dengan pengulangan digit diperbolehkan, dibentuk dari {1,2,4,9}. Tentukan banyak pernyataan benar: (1) selisih maksimum kelipatan 5, (2) ada 12 bilangan, (3) jumlah bilangan genap dan ganjil sama, (4) tiga bilangan terkecil membentuk barisan aritmetika.;;0;;1;;2;;3;;4;;B;Ada 4 pilihan puluhan dan 4 pilihan satuan.;Ada 16 bilangan. Selisih maksimum 99?11=88, bukan kelipatan 5. Ada 8 bilangan genap dan 8 ganjil. Tiga terkecil 11,12,14 bukan barisan aritmetika. Jadi hanya 1 pernyataan benar.;Sedang
;PK-031;;Bilangan dua digit lebih dari 9, dengan pengulangan digit diperbolehkan, dibentuk dari {0,1,3,5,7}. Tentukan banyak pernyataan benar: (1) tidak ada bilangan genap, (2) bilangan terbesar genap, (3) 5×bilangan terkecil < bilangan terbesar, (4) FPB bilangan terbesar dan terkecil =1.;;0;;1;;2;;3;;4;;C;Bilangan terkecil adalah 10 dan terbesar 77.;Ada bilangan genap seperti 10, jadi (1) salah. 77 ganjil, jadi (2) salah. 5×10=50<77 benar. FPB(77,10)=1 benar. Total 2 pernyataan benar.;Sedang
;PK-032;;Dua bilangan dua digit >10 dibentuk dari {0,2,3,5,7}, dengan empat digit yang digunakan harus berbeda. Tentukan banyak pernyataan benar: (1) jumlah maksimum kelipatan 5, (2) jumlah minimum <60, (3) ada pasangan yang keduanya prima, (4) selisih minimum kelipatan 2.;;0;;1;;2;;3;;4;;C;Cari pasangan ekstrem dengan menempatkan digit terbesar/kecil pada puluhan.;Jumlah maksimum 73+52=125, kelipatan 5. Jumlah minimum 20+35=55<60. Tidak ada pasangan dua bilangan prima yang memenuhi empat digit berbeda. Selisih minimum 3, bukan kelipatan 2. Jadi 2 pernyataan benar.;Sedang
;PK-033;;Dua bilangan dua digit dibentuk dari {1,2,5,7,9} dengan empat digit yang dipakai berbeda. Tentukan banyak pernyataan benar: (1) bilangan terbesar memiliki faktor genap, (2) produk maksimum =95×72, (3) terdapat lebih dari 24 pasangan yang dapat dibentuk, (4) selisih minimum kedua bilangan =8.;;0;;1;;2;;3;;4;;B;Periksa bilangan terbesar, produk maksimum, jumlah pasangan, dan selisih minimum.;Bilangan terbesar 97 adalah prima sehingga (1) salah. Produk maksimum adalah 92×75=6900, lebih besar dari 95×72=6840, jadi (2) salah. Banyak pasangan yang mungkin lebih dari 24, jadi (3) benar. Selisih minimum dapat 6 (misalnya 19 dan25), jadi (4) salah. Total 1 pernyataan benar.;Sulit
;PK-034;;Data banyak buku sastra (0,1,2,3,4) memiliki frekuensi Kelas A=(7,9,3,5,6) dan Kelas B=(2,4,7,8,9). Tentukan banyak pernyataan benar: (1) modus A=B, (2) median A=2×median B, (3) modus gabungan=2×median gabungan, (4) rata-rata A>rata-rata B.;https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjQ0ITsTG5CHtUpipQiSlNeQkK2KurFi6Yzk5C29UadNowHQw5lV6Eok5CuYRUmjb6gHDbU2PiNt76nJ-2XbSjnqS_-GRBh-Bv8HUio2wHGPH74JwPl4VIqUKMa8ah83PtvpO0ATT1usQsVvX0HHaeoqSk3E6Rzka-DNWYqoXtg5CE3wg_RxOgeBZk2fg/s1600/tps%20utbk%20sbmptn%20statistika%20%281%29.jpg;0;;1;;2;;3;;4;;B;Hitung modus, median, dan rata-rata masing-masing kelas serta data gabungan.;Modus A=1 dan B=4, jadi (1) salah. Median A=1 dan B=3, jadi (2) salah. Data gabungan memiliki modus 4 dan median 2, sehingga (3) benar. Rata-rata A=1,8 dan B=2,6, jadi (4) salah. Total 1 benar.;Sedang
;PK-035;;Lama bertahan hidup 1–5 tahun memiliki frekuensi Rumah Sakit A=(10,16,12,7,5) dan B=(5,10,13,9,3). Tentukan banyak pernyataan benar: (1) modus gabungan > modus B, (2) median A>median B, (3) rata-rata gabungan >3, (4) rata-rata A<rata-rata B.;https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjrZ4EbCug0-5sRPnocpLWYYSiWT6F478JjNXv5d157BoSXeeLoNFfRSgg_AxY4173oyY_qNnAIfq6_RcW6DWWDK8mlwVBxN46Gt6hbbPFrMM-ABo3ex9QSTTVMM4KYMt--8jye5mYYr4xESfWTN9yhNqTEPyw4DH71ZrEUfJ9wwt9TyUxgT8TDUtpAbA/s1600/tps%20utbk%20sbmptn%20statistika%20%282%29.jpg;0;;1;;2;;3;;4;;B;Hitung ukuran pemusatan dari distribusi frekuensi.;Modus gabungan=2 sedangkan modus B=3, jadi (1) salah. Median A=2 dan B=3, jadi (2) salah. Rata-rata gabungan=246/90?2,73, jadi (3) salah. Rata-rata A=2,62 dan B=3,375, maka (4) benar. Total 1 benar.;Sedang
;PK-036;;Banyak kucing 0–4 memiliki frekuensi Kelas A=(3,6,10,8,4) dan Kelas B=(4,12,7,9,0). Tentukan banyak pernyataan benar: (1) median A<median B, (2) modus gabungan=3, (3) total kucing B>A, (4) median gabungan=1.;https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgrbXy5TUZddw498NVY4r5dOWvEkANDcihUgfhkhqY0C0Z4fQRL07EVcTBxnDbJ6VHoOiRrmhhfqnHp8CizaSoV8lZaU9QlD3JiyeuOEjiqlFNDtyV0Wp_U2lALr_vs5P_CYC2N_cOGOlDOuLA_4AkDSD6qjrnzLdsRp8hObgjXcFyS_25z1OJi4HcXQQ/s1600/tps%20utbk%20sbmptn%20statistika%20%283%29.jpg;0;;1;;2;;3;;4;;A;Gunakan frekuensi kumulatif untuk median dan hitung total kucing sebagai nilai×frekuensi.;Median A=2 dan B=1,5 sehingga (1) salah. Modus gabungan=1, bukan 3. Total kucing A=66 dan B=53, jadi (3) salah. Median gabungan=2, bukan 1. Tidak ada pernyataan benar.;Sedang
;PK-037;;Banyak kunjungan perpustakaan 0–4 kali memiliki frekuensi Kelas A=(9,6,3,7,5) dan Kelas B=(3,11,7,9,0). Tentukan banyak pernyataan benar: (1) median A>median B, (2) modus gabungan=3, (3) total kunjungan A<B, (4) jangkauan A=B.;https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgYJZZ04zsA3zY_BOAlrkgRS7KM_FmtvgAprCBNqthxbo135Ybm64YdDNDTDXBfsZzqONyN1iUDYSNi2WxC5yd0BpVEOG0Yq7Fkn0b-zLSIWaETfov1UPlt0oK1q7ZR8ZFHTi262t7wGhsgOAZJkYE9i7nDe0pE3MRSnGbEaknkhe9CCz6rVJAMcchtMg/s1600/tps%20utbk%20sbmptn%20statistika%20%284%29.jpg;0;;1;;2;;3;;4;;A;Hitung median melalui frekuensi kumulatif, total kunjungan, dan jangkauan.;Median A=1,5 dan B=2 sehingga (1) salah. Modus gabungan=1, bukan 3. Total kunjungan A=53 dan B=52, jadi (3) salah. Jangkauan A=4 dan B=3, jadi (4) salah. Total 0 benar.;Sedang
;PK-038;;Produksi kedelai 10,20,30,40,50 ton memiliki frekuensi Kabupaten A=(60,40,30,40,30) dan B=(10,20,40,70,60). Tentukan banyak pernyataan benar: (1) rata-rata A<B, (2) median gabungan=30, (3) median B=2×median A, (4) modus gabungan=40.;https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjoUpS5nacFVhxV7xTvQyzDSsbHiTQSymnJSmWRBGPmCgPEFrBOd_4RMdZ8UEQ3qe3ksrT-i5otIcnGcBNtziJMxPRODvax84y5T9G5LjXkkJres_As-uG-9VbF3rdKPm6IeT0AoU4cjlRA96YxGmMdLQesF95cw3b29Ug6qsz5yRsTlu2kOtVqPsDjkA/s1600/statistika%201%20tps%20utbk%20sbmptn.jpg;0;;1;;2;;3;;4;;C;Hitung rata-rata berbobot, median dari frekuensi kumulatif, dan modus.;Rata-rata A=27 dan B=37,5 sehingga (1) benar. Median gabungan=(30+40)/2=35, jadi (2) salah. Median A=(20+30)/2=25 dan median B=40, bukan dua kali A, jadi (3) salah. Frekuensi gabungan terbesar terjadi pada 40 ton (110 desa), jadi (4) benar. Total 2 benar.;Sulit
;PK-039;;Banyak anak 1–5 memiliki frekuensi Kecamatan A=(100,450,250,150,50) dan B=(0,300,600,800,300). Tentukan banyak pernyataan benar: (1) rata-rata A<B, (2) median gabungan=2×median A, (3) jangkauan B<jangkauan gabungan, (4) modus B=modus gabungan.;https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgfU1es9g4kwVcCprevoof2STRW8hHsjYhCHqx6EwdCrBp1VVEbuFGKTgX7HFWjhhBWWhD3PyqNy0mfgTZDQtmh65CcUtbpCHO3GVwXTMPzBeM3UWHP6Wh6EsmYz_N3zWJ2mov2czriRsKk5NJYG6EzjZIxr5rIOqmKFazpvZF3B5Q7rrZZ-7wvfNFuRg/s1600/statistika%202%20tps%20utbk%20sbmptn.jpg;0;;1;;2;;3;;4;;D;Hitung rata-rata, median, jangkauan, dan modus dari distribusi.;Rata-rata A=2,6 dan B=3,55, jadi (1) benar. Median A=2 dan gabungan=3, bukan 4, sehingga (2) salah. Jangkauan B=3 sedangkan gabungan=4, jadi (3) benar. Modus B dan gabungan sama-sama 4, jadi (4) benar. Total 3 benar.;Sulit
;PK-040;;Gunakan peta pada kolom Gambar Soal (grid 1×1 cm, skala 1:100.000). Tentukan banyak pernyataan benar: (1) bentang terjauh Pulau A sekitar 50 km, (2) jarak pantai terdekat A–C sekitar 10 km, (3) Kota A,B,C membentuk segitiga sama sisi, (4) luas Pulau B >10 km².;https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjwiy7e9qoJRoqkmpFnITzb3-mQpQ6tc7yI-uQTeoz-hy5U9xf24byVpHSRo472b9tguIM8zyuvKBxzJroiytzes4BLKVsupWZva6etpAwMQViRboOkW4SqltJ0Wv5zC0SDwMWgbhN52nCd4IWE6OnQQR-9U8OI5tPP4qafFau3UauqtLzAxUvtzFpomA/s1600/soal%20tps%20utbk%20sbmptn%202022%20skala.jpg;0;;1;;2;;3;;4;;A;"Pada skala 1:100.000, satu kotak 1 cm mewakili 1 km; bandingkan jarak dan luas pada grid.";Bentang Pulau A sekitar 5 kotak?5 km, bukan 50. Jarak A–C terdekat sekitar 1 km. Jarak AC dan BC berbeda (??34 dan ?17 kotak), jadi bukan segitiga sama sisi. Pulau B tidak menutupi lebih dari 10 kotak. Tidak ada pernyataan benar.;Sulit
